,class
0LtLS9wROrk_1140_62,47
0LtLS9wROrk_1140_63,43
0LtLS9wROrk_1437_46,47
0LtLS9wROrk_1750_45,47
0LtLS9wROrk_2152_15,44
0LtLS9wROrk_217_34,47
0LtLS9wROrk_830_56,47
0LtLS9wROrk_830_58,43
E-1hTCGUCts_1314_47,47
E-1hTCGUCts_1314_59,43
E-1hTCGUCts_1569_43,47
E-1hTCGUCts_1894_63,43
E-1hTCGUCts_1894_64,41
E-1hTCGUCts_2363_46,43
E-1hTCGUCts_3725_21,47
E-1hTCGUCts_3725_22,43
E-1hTCGUCts_4337_46,46
E-1hTCGUCts_4337_54,47
E-1hTCGUCts_4337_55,43
E-1hTCGUCts_4631_58,47
E-1hTCGUCts_4631_67,43
E-1hTCGUCts_5481_13,47
E-1hTCGUCts_5481_75,43
E-1hTCGUCts_642_7,47
e3EsDlpNo0c_2003_63,46
e3EsDlpNo0c_2003_71,47
e3EsDlpNo0c_2003_72,43
e3EsDlpNo0c_2738_23,43
e3EsDlpNo0c_2738_56,47
e3EsDlpNo0c_2738_57,46
e3EsDlpNo0c_3189_41,41
e3EsDlpNo0c_3189_83,47
e3EsDlpNo0c_3857_52,46
e3EsDlpNo0c_3857_63,41
e3EsDlpNo0c_3857_74,52
e3EsDlpNo0c_3857_83,47
e3EsDlpNo0c_4207_21,43
e3EsDlpNo0c_4207_57,43
e3EsDlpNo0c_4207_68,47
e3EsDlpNo0c_4207_70,46
e3EsDlpNo0c_4571_33,43
e3EsDlpNo0c_4571_34,43
e3EsDlpNo0c_4571_52,47
e3EsDlpNo0c_4571_54,46
e3EsDlpNo0c_4848_39,43
e3EsDlpNo0c_4848_45,47
e3EsDlpNo0c_4848_47,46
e3EsDlpNo0c_4848_56,43
e3EsDlpNo0c_5030_13,43
e3EsDlpNo0c_5030_39,47
e3EsDlpNo0c_5030_58,46
e3EsDlpNo0c_5562_64,47
e3EsDlpNo0c_5562_66,46
e3EsDlpNo0c_5562_73,43
e3EsDlpNo0c_6000_22,41
e3EsDlpNo0c_6000_23,43
e3EsDlpNo0c_6000_73,47
e3EsDlpNo0c_6296_59,47
e3EsDlpNo0c_6296_73,41
e3EsDlpNo0c_6565_35,47
e3EsDlpNo0c_6565_37,46
e3EsDlpNo0c_6565_67,43
e3EsDlpNo0c_6565_69,43
e3EsDlpNo0c_7447_22,43
e3EsDlpNo0c_7447_74,47
e3EsDlpNo0c_7745_53,47
e3EsDlpNo0c_7745_73,41
e3EsDlpNo0c_7745_74,43
e3EsDlpNo0c_8034_21,41
e3EsDlpNo0c_8034_40,47
e3EsDlpNo0c_8034_56,43
e3EsDlpNo0c_8427_30,43
e3EsDlpNo0c_8427_48,47
e3EsDlpNo0c_8427_58,43
e3EsDlpNo0c_8642_44,43
e3EsDlpNo0c_8642_82,47
e3EsDlpNo0c_8642_83,46
EFvDqOF1sCk_1344_40,43
EFvDqOF1sCk_1344_41,45
EFvDqOF1sCk_1344_67,47
EFvDqOF1sCk_1760_14,43
EFvDqOF1sCk_1760_15,41
EFvDqOF1sCk_1760_24,47
EFvDqOF1sCk_1760_37,45
EFvDqOF1sCk_1760_50,48
EFvDqOF1sCk_211_36,43
EFvDqOF1sCk_211_45,46
EFvDqOF1sCk_211_50,47
IP96HTdCvWs_1014_41,47
IP96HTdCvWs_3478_45,45
IP96HTdCvWs_3478_8,43
IP96HTdCvWs_3478_9,44
IP96HTdCvWs_3721_35,43
IP96HTdCvWs_3942_40,47
IP96HTdCvWs_3942_72,42
IP96HTdCvWs_4409_45,45
IP96HTdCvWs_4409_68,47
IP96HTdCvWs_4409_71,43
JHqcbeKepSg_10724_21,43
JHqcbeKepSg_10724_22,43
JHqcbeKepSg_10724_31,42
JHqcbeKepSg_10724_69,47
JHqcbeKepSg_10724_71,46
JHqcbeKepSg_1145_22,47
JHqcbeKepSg_1145_24,46
JHqcbeKepSg_1145_38,43
JHqcbeKepSg_1145_39,44
JHqcbeKepSg_2734_34,47
JHqcbeKepSg_2734_35,46
JHqcbeKepSg_2734_46,43
JHqcbeKepSg_2734_47,44
JHqcbeKepSg_2734_73,42
